"title","instructor","guid","link","description","registration_url","registration_description","parkids","parknames","startdate","enddate","starttime","endtime","contact_phone","location","categories","coordinates","image","pubDate"
"Kids In Motion: Hoover-Manton Playgrounds",,"2,175,998","http://www.nycgovparks.org/events/2026/08/20/kim-hoover-manton-playgrounds","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q220G","Hoover - Manton Playgrounds","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Open Area (in Hoover - Manton Playgrounds)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.71189880371100000, -73.82160186767600000","http://www.nycgovparks.org/common_images/events/6a5e061cbe1e9.jpg","2026-08-09 00:00:04"
"Kids In Motion: Austin J. McDonald's Playground",,"2,176,128","http://www.nycgovparks.org/events/2026/08/20/kim-austin-j-mcdonalds-playground","The Kids in Motion program engages children in active, outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games, and more!Kias in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program.Kids in Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","R034","Austin J. McDonald Playground","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Austin J. McDonald Playground Fieldhouse (in Austin J. McDonald Playground)","Arts & Crafts | Games | Best for Kids","40.62910079956100000, -74.11550140380900000",,"2026-08-09 00:00:04"
"Kids In Motion: Torsney Playground",,"2,179,350","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-torsney-playground","The Kids In Motion Program engages children in active outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games, and more!Kids In Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally, a Kids In Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids In Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","Q340","Torsney Playground","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Lou Lodati Playground - Play Area (in Torsney Playground)","Arts & Crafts | Games | Best for Kids | Sports","40.74729919433600000, -73.92179870605500000","http://www.nycgovparks.org/common_images/events/6a5e055069996.jpg","2026-08-09 00:00:04"
"Kids In Motion: Grover Cleveland Playground",,"2,179,378","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-grover-cleveland-playground","The Kids In Motion Program engages children in active outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games, and more!Kids In Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally, a Kids In Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids In Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","Q002","Grover Cleveland Playground","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Play Area (in Grover Cleveland Playground)","Arts & Crafts | Games | Best for Kids | Sports","40.71080017089800000, -73.91120147705100000","http://www.nycgovparks.org/common_images/events/6a5e06020f210.jpg","2026-08-09 00:00:04"
"Kids in Motion: Al Quinones Playground",,"2,180,334","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-al-quinones-playground","The Kids in Motion Program engages children in active, outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports. games, fitness, demos, board games, water games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","X179","Al Qui&amp;#241;ones Playground","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(929) 202-6413","Play Area (in Al Quiñones Playground)","Arts & Crafts | Games | Best for Kids | Sports","40.81541277897900000, -73.90127462527200000","http://www.nycgovparks.org/common_images/events/6a5e05a818844.jpg","2026-08-09 00:00:04"
"Kids in Motion: Hunts Point Playground",,"2,180,973","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-hunts-point-playground","The Kids in Motion Program engages children in active, outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports. games, fitness, demos, board games, water games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","X113","Hunts Point Playground","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(929) 202-6413","Basketball Court (in Hunts Point Playground)","Arts & Crafts | Games | Best for Kids | Sports","40.81404081248400000, -73.88604187965400000","http://www.nycgovparks.org/common_images/events/6a6254c7b32b2.jpg","2026-08-09 00:00:04"
"Kids in Motion: St. Mary's Park West",,"2,181,074","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-st-marys-park-west","The Kids in Motion Program engages children in active, outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports. games, fitness, demos, board games, water games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","X045","St. Mary's Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(929) 202-6413","Playground West - Play Area (in St. Mary's Park)","Arts & Crafts | Games | Best for Kids | Sports","40.81281493919200000, -73.91326284408600000","http://www.nycgovparks.org/common_images/events/6a5e057f479ef.jpg","2026-08-09 00:00:04"
"Kids In Motion: Yellowstone Park",,"2,183,352","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-yellowstone-park","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q425","Yellowstone Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Katzman Playground (in Yellowstone Park)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.72620010375976600, -73.84790039062500000","http://www.nycgovparks.org/common_images/events/6a5e060872aa4.jpg","2026-08-09 00:00:04"
"Kids In Motion: Brookville Park",,"2,183,469","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-brookville-park","The Kids In Motion Program engages children in active outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games, and more!Kids In Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally, a Kids In Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids In Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","Q008","Brookville Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Brookville Playground (in Brookville Park)","Arts & Crafts | Games | Best for Kids | Sports","40.66220430000000000, -73.74210941791500000","http://www.nycgovparks.org/common_images/events/6a5e0556baf69.jpg","2026-08-09 00:00:04"
"Kids In Motion: Nautilus Playground",,"2,183,490","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-nautilus-playground","The Kids In Motion Program engages children in active outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games, and more!Kids In Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally, a Kids In Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids In Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","Q448","Roy Wilkins Recreation Center","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Nautilus Playground (in Roy Wilkins Recreation Center)","Arts & Crafts | Games | Best for Kids | Sports","40.68389892578100000, -73.76999664306600000","http://www.nycgovparks.org/common_images/events/6a5e05e4c0c84.jpg","2026-08-09 00:00:04"
"Kids In Motion: Lower Highland Playground",,"2,183,700","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-alleyspringfield-playground","The Kids In Motion Program engages children in active outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games, and more!Kids In Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally, a Kids In Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids In Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","Q020","Highland Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(718) 393-7370","Lower Highland Playground (in Highland Park)","Arts & Crafts | Games | Best for Kids | Sports","40.68399810791015600, -73.88559722900390000","http://www.nycgovparks.org/common_images/events/6a5e05f0ce3b7.jpg","2026-08-09 00:00:04"
"Kids In Motion: St. John's park",,"2,184,201","http://www.nycgovparks.org/events/2026/08/20/kim-st-johns-park","The Kids In Motion programs engage children in active, outdoor play. An NYC parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games and more",,"Registration not required.","B245","St. John's Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Playground (in St. John's Park)","Arts & Crafts | Fitness | Games | Best for Kids","40.67387608569100000, -73.93583863384200000",,"2026-08-09 00:00:04"
"Kids In Motion: Bowne Playground",,"2,184,740","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-bowne-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q308","Bowne Playground","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Play Area (in Bowne Playground)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.75820159912100000, -73.82479858398400000","http://www.nycgovparks.org/common_images/events/6a5e05448e480.jpg","2026-08-09 00:00:04"
"Kids In Motion: Northern Playground",,"2,184,816","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-northern-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q363","Northern Playground","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Northern Blvd. and 94th Street (in Northern Playground)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.75657418855900000, -73.87422354926400000","http://www.nycgovparks.org/common_images/events/6a5e057ad824c.jpg","2026-08-09 00:00:04"
"Session 3: McCarren Pool - Parent and Tots Learn to Swim (Class A)",,"2,187,198","http://www.nycgovparks.org/events/2026/08/20/session-3-mccarren-pool-parent-and-tots-learn-to-swim-class-a","The Learn to Swim program puts the fun in fundamentals and teaches basic swimming and safety skills. The program offers tots, from 1 1/2 to 5 years old, the opportunity to become comfortable in the water and prepare to learn to swim. Parents/Guardians must accompany tots in the water. Registration for this program takes place by lottery drawing. Visit https://nyc.gov/parks/learntoswim for rules and regulations.",,"Registration is closed.","B058","McCarren Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 11:00:00",,"McCarren Park Pool (in McCarren Park)","Swimming/Aquatics","40.72015570000000000, -73.95174040000000000",,"2026-08-09 00:00:04"
"Liberty Pool: Swim Team Training",,"2,188,320","http://www.nycgovparks.org/events/2026/08/20/liberty-pool-swim-team-training","Learn competitive swimming strokes, goal setting, sportsmanship, teamwork principals, and improve your fitness. Participants must know how to swim comfortably; advanced skill level required. For ages 6-18. Advanced skill level required.","https://nycparks.perfectmind.com/24936/Clients/BookMe4LandingPages/Class?widgetId=15f6af07-39c5-473e-b053-96653f77a406&embed=False&redirectedFromEmbededMode=False&classId=e22807bd-f4d2-4bfc-8374-ac42444e2ef1","Registration for this event is full. Please use the link to add your name to the wait list.","Q121","Detective Keith L Williams Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 11:00:00",,"Main Pool (in Detective Keith L Williams Park)","Swimming/Aquatics","40.70180531305800000, -73.78410351276400000",,"2026-08-09 00:00:04"
"Preseason Flag Football Clinic at Ocean Breeze",,"2,189,557","http://www.nycgovparks.org/events/2026/08/20/preseason-flag-football-clinic-at-ocean-breeze","Is your child ready to learn the fundamentals of football in a safe, high-energy, and non-contact environment? Our flag football clinic is perfect for boys and girls who want to learn the game, make new friends, and get moving! Led by experienced coaches, we focus on the core skills needed to succeed on the gridiron while keeping the fun at 100%.",,,"R149","Ocean Breeze Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 14:00:00","7183517923","Ocean Breeze Track & Field Athletic Complex (in Ocean Breeze Park)","Best for Kids | Football","40.58310838289600000, -74.07515335083000000",,"2026-08-09 00:00:04"
"Summer on the Hudson: Art in the Park",,"2,195,875","http://www.nycgovparks.org/events/2026/08/20/summer-on-the-hudson-art-in-the-park","Art in the Park invites children ages 3-8 to learn about their local environment through a mix of arts &amp; crafts activities. This hands-on, place-based curriculum builds kids' appreciation for the plants, pollinators, and wildlife found in Riverside Park, and fosters their creativity.&nbsp;Mondays and Thursdays at Camel Playground; Tuesdays and Wednesdays at Hippo Playground. Art in the Park is fully funded by proceeds from the Hippo Playground Spring Fair.&nbsp;",,,"M072","Riverside Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 12:00:00","2128703089","Riverbank (Camel) Playground (in Riverside Park)","Arts & Crafts | Nature | Art","40.82562048328100000, -73.95355439186100000",,"2026-08-09 00:00:04"
"Exhibition: Think Global. Act Local.",,"2,198,063","http://www.nycgovparks.org/events/2026/08/20/exhibition-think-global-act-local","&nbsp;Multi artist exhibit of works highlighting endangered local and global species.&nbsp;Learn what NYC Parks is doing within City to protect and preserve local wildlife as well preervation efforts around the world.&nbsp;Free admission. &nbsp;",,,"R006","Conference House Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 16:00:00",,"Visitor Center - Satterlee Street and Hylan Boulevard (in Conference House Park)","Education | Nature | Art | History | Volunteer | Waterfront | Wildlife | Walking","40.50225702965300000, -74.25172543525700000","http://www.nycgovparks.org/common_images/events/69331868b5406.jpg","2026-08-09 00:00:04"
"Volunteering at Conference House Park - The Blue Wave",,"2,198,183","http://www.nycgovparks.org/events/2026/08/20/volunteering-at-conference-house-park-the-blue-wave","Join NYC Parks and the Conference House Park Conservancy for our ongoing beach and park clean-up initiative!Pick up a trash grabber and a bucket and help to beautify our park by picking up litter and debris!Stop by the park Visitor's Center at 298 Satterlee Street, corner of Hylan Boulevard, Staten Island, NY, to meet our staff and borrow a bucket and grabber!Drop-ins welcome. No RSVP required. Blue Wave clean-ups are self-led by the volunteer stewards themselves.&nbsp;For group volunteer opportunities and volunteering at additional Staten Island South Shore sites, please contact the South Shore Parks Programs and Events Manager at 646-406-2155, or carmine.raimondi@parks.nyc.gov.",,,"R006","Conference House Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 14:00:00",,"Conference House Museum (in Conference House Park)","Nature | Volunteer | Waterfront | Wildlife | Walking | Gardening","40.50199890136719000, -74.25140380859375000","http://www.nycgovparks.org/common_images/events/695eda7426cc1.jpg","2026-08-09 00:00:04"
"Kids In Motion: Bowne Park",,"2,204,511","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-bowne-park","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q006","Bowne Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Bowne Park Playground (in Bowne Park)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.77034280486200000, -73.80591541528700000","http://www.nycgovparks.org/common_images/events/6a5e05a6492db.jpg","2026-08-09 00:00:04"
"Kids In Motion: London Planetree Playground",,"2,204,582","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-london-planetree-playground","The Kids In Motion Program engages children in active outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, water games, and more!Kids In Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally, a Kids In Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids In Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","Q128","London Planetree Playground","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(718) 393-7370","Play Area (in London Planetree Playground)","Arts & Crafts | Games | Best for Kids | Sports","40.68610000610400000, -73.85320281982400000","http://www.nycgovparks.org/common_images/events/6a5e058a58d21.jpg","2026-08-09 00:00:04"
"Kids In Motion: Rosemary's Playground",,"2,204,773","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-rosemarys-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q398","Rosemary's Playground","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Playground (in Rosemary's Playground)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.70447868093400000, -73.90448480844500000","http://www.nycgovparks.org/common_images/events/6a5e05275d620.jpg","2026-08-09 00:00:04"
"Kids in Motion: St. James Playground",,"2,208,472","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-st-james-playground","The Kids in Motion Program engages children in active, outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports. games, fitness, demos, board games, water games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","X044","St. James Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(929) 202-6413","St. James Park Playground (in St. James Park)","Arts & Crafts | Games | Best for Kids | Sports","40.86601935453400000, -73.89819562435100000","http://www.nycgovparks.org/common_images/events/6a5e054d54090.jpg","2026-08-09 00:00:04"
"Kids in Motion: Ben Abrams Playground",,"2,208,774","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-ben-abrams-playground","The Kids in Motion Program engages children in active, outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports. games, fitness, demos, board games, water games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","X002","Bronx Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(929) 202-6354","Ben Abrams Playground (in Bronx Park)","Arts & Crafts | Games | Best for Kids | Sports","40.85449981689500000, -73.87010192871100000","http://www.nycgovparks.org/common_images/events/6a6254bc25731.jpg","2026-08-09 00:00:04"
"Kids In Motion: Haggerty Park",,"2,212,773","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-haggerty-park","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in Motion program may be cancelled due to harsh weather or other conditions.Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","Q359","Haggerty Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Multi-Purpose Play Area (in Haggerty Park)","Arts & Crafts | Fitness | Games | Best for Kids | Sports","40.71301729383100000, -73.75851392745900000","http://www.nycgovparks.org/common_images/events/6a5e060fedfde.jpg","2026-08-09 00:00:04"
"Kids in Motion: Sol Lain Playground",,"2,213,411","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-sol-lain-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a kids in Motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","M235","Sol Lain Plgd","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Sol Lain Playground (in Sol Lain Plgd)","Arts & Crafts | Games | Best for Kids | Sports | Basketball/Netball | Sports Camps","40.71419906616211000, -73.98380279541016000","http://www.nycgovparks.org/common_images/events/6a689b8dcd38e.jpg","2026-08-09 00:00:04"
"Kids In Motion: Bloomingdale Playground",,"2,213,414","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-bloomingdale-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a kids in Motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","M238","Bloomingdale Playground","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Play Area (in Bloomingdale Playground)","Arts & Crafts | Games | Best for Kids","40.79930114746100000, -73.96600341796900000","http://www.nycgovparks.org/common_images/events/6a5b96a854535.jpg","2026-08-09 00:00:04"
"Kids in Motion: Columbus Park",,"2,213,580","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-columbus-park","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a kids in Motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","M015","Columbus Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Columbus Park","Arts & Crafts | Games | Best for Kids","40.71519851684600000, -74.00000000000000000","http://www.nycgovparks.org/common_images/events/6a5e062474bae.jpg","2026-08-09 00:00:04"
"Kids in Motion: Samuel Seabury Playground",,"2,213,698","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-samuel-seabury-playground","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a kids in Motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","M236","Samuel Seabury Playground","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Samuel Seabury Playground","Arts & Crafts | Games | Best for Kids","40.78540039062500000, -73.95079803466797000","http://www.nycgovparks.org/common_images/events/6a71f0cb346fc.jpg","2026-08-09 00:00:04"
"Kids in Motion: Seward Park",,"2,213,774","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-seward-park","The Kids in Motion program engages children in active, outdoors play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports, games, fitness demos, board games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a kids in Motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC parks is not responsible for the well-being of attendees.",,"Registration not required.","M082","Seward Park","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00",,"Entrance - East Broadway & Essex St (in Seward Park)","Arts & Crafts | Games | Best for Kids | Sports | Basketball/Netball | Sports Camps","40.71449900000000000, -73.98988600000000000","http://www.nycgovparks.org/common_images/events/6a5e056e5c2f6.jpg","2026-08-09 00:00:04"
"Kids in Motion: Spuyten Duyvil Playground",,"2,213,883","http://www.nycgovparks.org/events/2026/08/20/kids-in-motion-spuyten-duyvil-playground","The Kids in Motion Program engages children in active, outdoor play. A NYC Parks staff member leads four to seven hours of free activities in NYC's playgrounds, including organized sports. games, fitness, demos, board games, water games, and more!Kids in Motion is a free, drop-in program without registration. Children can head to the playground during the listed hours of operation to participate. Occasionally a Kids in motion program may be cancelled due to harsh weather or other conditions. Please note: We recommend that guardians accompany children participating in this program. Kids in Motion is not a childcare program and NYC Parks is not responsible for the well-being of attendees.",,"Registration not required.","X171","Spuyten Duyvil Playground","08/20/2026","08/20/2026","2026-08-09 10:00:00","2026-08-09 18:00:00","(929) 202-6413","Play Area (in Spuyten Duyvil Playground)","Arts & Crafts | Games | Best for Kids | Sports","40.88722589357500000, -73.91639633816400000","http://www.nycgovparks.org/common_images/events/6a6254b6d1352.jpg","2026-08-09 00:00:04"
